"county","state","GEOID","lon","lat","P_total","P_white","P_black","P_asian","P_native","P_hawaiian","P_others","P_below_middle_school","P_some_high_school","P_high_school_equivalent","P_some_college","P_bachelor_and_above","P_below_poverty","median_age","gini_index","median_household_income","median_rent_per_income","percent_no_internet"
"Alexandria city","VA","05000US51510",-77.0820263,38.8183429,155810,92717,34500,9726,99,146,11250,5011,4248,12739,21383,73206,19256,36.6,0.4621,87920,28.9,6.69194991055456
"Chesapeake city","VA","05000US51550",-76.3017884,36.6793761,237940,147623,71159,7197,68,0,2808,2991,10013,41274,54376,50669,18606,36.9,0.412,72928,30.9,9.01348303824193
"Hampton city","VA","05000US51650",-76.2971486,37.0480303,135410,56219,68730,3506,75,476,1902,1348,5919,26995,31164,24831,22696,36.2,0.4407,50435,30,12.4268655063583
"Lynchburg city","VA","05000US51680",-79.1954582,37.3990161,80212,53004,23624,795,312,0,235,868,3665,11592,12204,14714,10175,27.7,0.4848,41264,28.6,20.3339989108731
"Newport News city","VA","05000US51700",-76.5217187,37.0759784,181825,86739,73750,4472,430,202,3401,1231,8391,31020,42624,31728,23008,33.4,0.4361,50524,33.1,13.0167977760691
"Norfolk city","VA","05000US51710",-76.2446413,36.9230149,245115,115675,100685,9313,832,496,8111,2760,12610,38949,52402,42731,43790,30.6,0.4855,46467,32.5,12.8756682971221
"Portsmouth city","VA","05000US51740",-76.3562686,36.8594298,95252,38231,49467,1626,265,1001,1566,1390,5615,18851,22274,13217,15487,35,0.4236,48516,36.5,17.0258090946333
"Richmond city","VA","05000US51760",-77.4760085,37.531399,223170,101987,105155,4903,650,115,1948,4139,14529,33617,39174,59674,56983,33.4,0.555,42373,35.1,22.9891825874553
"Roanoke city","VA","05000US51770",-79.9584716,37.2778301,99660,NA,NA,NA,NA,NA,NA,1254,6779,24672,21515,14711,23965,38.7,0.4621,37044,32.4,21.7065832800322
"Suffolk city","VA","05000US51800",-76.6347808,36.6971573,89273,45912,37324,1688,191,89,583,979,4270,17173,20929,15757,10024,38.2,0.4355,66669,32.8,15.432783054199
"Virginia Beach city","VA","05000US51810",-76.0240202,36.7793219,452602,303452,82660,30196,901,175,9160,3413,14265,65040,114133,107278,34792,35.8,0.418,71117,29.9,8.19821374381921
"Chittenden County","VT","05000US50007",-73.0705246,44.4606755,161531,145945,4444,5969,481,44,1023,1352,2924,21528,25888,53549,15818,37.2,0.4477,68843,31.9,8.59450876408652
"Benton County","WA","05000US53005",-119.5168636,46.228072,193686,161191,3631,4742,1070,81,16728,5501,4794,29319,46846,37187,18867,35.6,0.4243,62508,27.2,8.71312150381918
"Chelan County","WA","05000US53007",-120.6185425,47.8598915,76338,NA,NA,NA,NA,NA,NA,3165,5245,13673,14361,13546,6174,40.3,0.4566,52080,24.5,20.9007865128911
"Clallam County","WA","05000US53009",-123.9306111,48.1130086,74570,65652,883,774,3385,48,728,365,4650,16323,20768,13464,11565,50.8,0.4144,48587,28.6,14.8600684737884
"Clark County","WA","05000US53011",-122.4859027,45.7716737,467018,394477,8011,22913,2095,3821,14914,5029,16936,75961,121443,92706,40514,38,0.4269,69062,28.9,7.68601798855274
"Cowlitz County","WA","05000US53015",-122.6586822,46.1859234,105160,95117,403,926,1316,69,1800,1215,6460,22978,28857,12522,17297,42.4,0.4521,50637,31.6,14.7025143141648
"Franklin County","WA","05000US53021",-118.9069436,46.5345799,90160,54718,1733,1777,726,759,26894,6511,4749,12158,17898,8272,14024,29.3,0.4107,57670,29.3,13.0448210631973
"Grant County","WA","05000US53025",-119.467788,47.2136328,93546,59251,558,773,843,0,26679,4197,4928,14719,18172,10194,15671,32.9,0.4275,48335,23.8,16.0946703819971
"Grays Harbor County","WA","05000US53027",-123.8270425,47.1427856,71628,62373,1187,1304,2996,132,514,1809,4237,18248,18355,8684,8630,43.9,0.4564,49623,29.6,11.9612147822905
"Island County","WA","05000US53029",-122.6705032,48.1584361,82636,70785,1993,3901,898,318,914,562,1956,14168,24536,18813,8590,45.4,0.4359,64813,27.6,6.63869324142065
"King County","WA","05000US53033",-121.8323748,47.4935537,2149970,1393480,130762,361162,11288,17123,97649,42414,62934,230070,393756,784298,196355,37.1,0.4693,86095,27.9,6.31942718723945
"Kitsap County","WA","05000US53035",-122.6496358,47.6396874,264811,213321,6587,11318,3022,2204,6781,2618,7864,41891,71354,58621,25833,38.5,0.4233,69171,26.7,8.44551203490367
"Lewis County","WA","05000US53041",-122.3774443,46.5800714,77066,69504,542,932,1279,26,1836,1429,3770,16293,22850,9063,10097,43.7,0.414,45523,34.5,16.1205056084584
"Pierce County","WA","05000US53053",-122.144709,47.0407155,861312,629794,55912,52850,10825,12192,28744,12416,34003,155404,213234,155159,102454,36.1,0.4356,64434,30.1,10.4891538730322
"Skagit County","WA","05000US53057",-121.8162777,48.4930662,123681,102076,736,2563,2356,354,11035,2894,5001,22387,33643,20920,13339,42,0.4279,60983,28.4,8.9115309221722
"Snohomish County","WA","05000US53061",-121.7664118,48.054913,787620,598184,24290,80706,7930,4176,27135,9618,28077,132054,198041,170822,61249,38,0.4074,78716,30,7.30263249870682
"Spokane County","WA","05000US53063",-117.4043916,47.6203793,499072,437088,9113,11616,8027,2794,9051,3350,14139,79505,135148,104699,63748,37.3,0.4535,53043,30,10.4761321096794
"Thurston County","WA","05000US53067",-122.8294407,46.9325978,275222,226065,8506,16030,3433,2555,2870,2907,7961,40089,73967,68492,28522,39.5,0.4119,65783,33.3,9.57841738851157
"Whatcom County","WA","05000US53073",-121.8364325,48.8426531,216800,178402,2619,9298,6037,524,11147,3479,7136,35712,47627,46819,33560,37,0.4351,56411,32.2,9.87132637392722
"Yakima County","WA","05000US53077",-120.7401446,46.4565581,249636,194416,3499,2502,10785,35,30169,16206,16593,43273,45612,24032,44367,32.8,0.4486,48965,27.6,19.457599526417
"Brown County","WI","05000US55009",-87.9959258,44.4739612,260401,221450,5768,7972,7072,22,8699,3177,6941,55002,57656,49247,24823,37.1,0.4367,57783,24.5,14.5385672302584
"Dane County","WI","05000US55025",-89.4178523,43.0674684,531273,443862,25227,30922,2137,243,11260,3904,7464,61626,92168,180349,58325,35,0.4402,70796,28.6,7.86553014629482
"Dodge County","WI","05000US55027",-88.7043791,43.4227057,88068,85269,1584,107,105,0,149,922,4325,25133,21761,10395,8242,42.1,0.3951,55856,25.1,17.5334795659201
"Eau Claire County","WI","05000US55035",-91.2864137,44.7263547,102965,NA,NA,NA,NA,NA,NA,996,2701,16107,23900,19697,13273,34.2,0.4524,49821,30,13.2939581719597
"Fond du Lac County","WI","05000US55039",-88.493284,43.7547219,102144,94027,762,1494,528,25,3086,1363,4110,26412,21726,16894,6554,41,0.3974,58310,27.7,15.7319612887419
"Jefferson County","WI","05000US55055",-88.7739855,43.0138065,84625,NA,NA,NA,NA,NA,NA,1583,3612,18712,19172,14083,8002,39.6,0.3854,58703,28.6,16.0417567484094
"Kenosha County","WI","05000US55059",-87.4248983,42.5797028,168183,143113,12119,2482,827,175,3251,2685,9477,33687,36205,27922,22835,39,0.4409,59417,28.7,15.2005094275153
"La Crosse County","WI","05000US55063",-91.1117584,43.9082222,118122,107056,1327,5207,217,9,1091,379,2785,16437,27267,27709,15979,35.5,0.4375,54823,29.9,12.9550184768296
"Manitowoc County","WI","05000US55071",-87.3138281,44.1051076,79536,74773,485,2022,365,0,217,1197,3164,24440,16900,10924,6928,44.6,0.3868,51752,22.7,18.3092831687796
"Marathon County","WI","05000US55073",-89.757823,44.8980363,135603,123417,483,7976,456,0,760,1748,5219,32944,29059,23013,14934,40.8,0.4412,54774,23.6,15.8394835621158
"Milwaukee County","WI","05000US55079",-87.4815749,43.0176546,951448,562559,249436,40031,4836,168,57968,18884,48539,178628,181332,191805,181954,34.7,0.487,47607,30,18.2577271463713
"Outagamie County","WI","05000US55087",-88.4649883,44.4182258,184526,165748,2474,6610,2854,65,3225,2075,4831,39193,43459,33885,15680,38.2,0.4173,61149,24.5,12.7489930679234
"Ozaukee County","WI","05000US55089",-87.4965534,43.360715,88314,NA,NA,NA,NA,NA,NA,190,1689,13114,16375,29372,5667,44,0.4987,84415,27.1,10.6671937205297
"Portage County","WI","05000US55097",-89.4980699,44.4762457,70447,66177,485,1476,162,0,508,313,1808,13982,14493,14245,7926,36.6,0.4258,53655,27.5,13.6420436288336
"Racine County","WI","05000US55101",-87.414676,42.7540747,195140,156136,21484,2903,1268,0,7096,2584,9481,46963,41936,30594,26423,40,0.4328,55706,28.6,13.6931810697962
"Rock County","WI","05000US55105",-89.0751194,42.6699307,161620,140747,7575,1734,563,0,6456,2024,7586,37499,37683,23697,21082,40.1,0.4274,50729,28.8,17.5635063743634
"St. Croix County","WI","05000US55109",-92.4472842,45.0289589,88029,84757,746,769,297,6,143,300,950,13731,22590,21288,5623,38.3,0.4264,72865,23.8,14.4261805140466
"Sheboygan County","WI","05000US55117",-87.7305455,43.7460015,115427,104025,2495,6384,291,0,251,1129,3466,29073,25697,20649,6094,41.5,0.4102,54059,23,16.6414840930076
"Walworth County","WI","05000US55127",-88.5417306,42.6681095,102959,96375,1042,1026,90,0,2260,881,3450,21587,21081,19720,11176,39.9,0.4511,58302,32,15.180199305677
"Washington County","WI","05000US55131",-88.2329166,43.391156,134296,NA,NA,NA,NA,NA,NA,375,3703,27883,32721,28882,7163,42.9,0.438,73502,25.8,12.0625353173856
"Waukesha County","WI","05000US55133",-88.3067069,43.0193081,398424,367790,6221,13818,1459,156,3701,1559,7902,66421,82677,120152,20268,43.2,0.4535,81878,26.7,9.374261196271
"Winnebago County","WI","05000US55139",-88.6681488,44.0857068,169886,156755,3786,4567,1004,0,1112,1160,6549,38900,34015,32405,19587,38.6,0.4468,56754,26.8,12.467294797192
"Wood County","WI","05000US55141",-90.0388252,44.4614126,73107,NA,NA,NA,NA,NA,NA,718,2920,19447,17370,11131,6315,44.1,0.4425,51887,23.2,18.5135423982412
"Berkeley County","WV","05000US54003",-78.0323378,39.4578544,113525,NA,NA,NA,NA,NA,NA,469,8584,29594,22489,16244,15881,38.2,0.4266,57357,28.1,11.2133871462626
"Cabell County","WV","05000US54011",-82.2433916,38.41958,95987,87445,4977,1307,15,0,149,1035,5584,19920,18593,16147,21347,38,0.51,38823,31.5,20.9242125227465
"Harrison County","WV","05000US54033",-80.3864869,39.2791993,68400,NA,NA,NA,NA,NA,NA,632,3851,18635,12263,12260,8853,41.8,0.459,47204,27.6,16.4702065534768
"Kanawha County","WV","05000US54039",-81.5235223,38.3280607,186241,164796,13019,2148,439,0,194,1898,12677,48425,35328,34075,31626,43.4,0.4983,45001,29.6,19.4664069121684
"Monongalia County","WV","05000US54061",-80.0590736,39.6336448,104622,NA,NA,NA,NA,NA,NA,547,4002,19932,13517,26114,20350,31.4,0.5439,50953,32,12.6282332876819
"Raleigh County","WV","05000US54081",-81.2646711,37.7624696,76601,NA,NA,NA,NA,NA,NA,599,4322,22513,15679,10792,10909,41.2,0.4284,45863,29.8,21.1297689855739
"Wood County","WV","05000US54107",-81.5159276,39.2116786,85643,NA,NA,NA,NA,NA,NA,292,3520,19741,20671,15349,15465,43,0.4738,48655,30.1,16.7471635563431
"Laramie County","WY","05000US56021",-104.660395,41.2928302,98136,88958,2690,1200,443,362,1209,621,2900,17034,27792,18349,9270,36.4,0.3927,62221,28.7,11.4978654304497
"Natrona County","WY","05000US56025",-106.7648769,42.9736408,81039,NA,NA,NA,NA,NA,NA,209,2832,18305,19822,12691,7256,36,0.4335,59474,29,12.8606631523129
